date,venue,city,state,category,etree_comments,ia_sources
1969-09-29_2,Cafe au Go-Go,New York,NY,,Merry-Go-Round Broke Down-> Take Me Out To The Ballgame tuning before Alligator may be from one of the other two nights,[]
1969-09-30_2,Cafe au Go-Go,New York,NY,,Late show; Merry-Go-Round Broke Down-> Take Me Out To The Ballgame tuning before Alligator may be from one of the other two nights,[]
1969-10-01_2,Cafe au Go-Go,New York,NY,,Late Show,[]
1969-10-17,Unknown Location,San Jose,CA,,,[]
1969-10-28,2400 Fulton Street,San Francisco,CA,,"JERRY GARCIA, JORMA, JACK CASSADY, SPENCER DRYDEN",[]
1969-11-04,"San Francisco,Ca",San Francisco,CA,,,[]
1969-11-23_2,Boston Music Hall,Boston,MA,,"Late Show. According to Lost Live Dead, it appears that the Dead played two shows. See http://lostlivedead.blogspot.com/2011/04/november-23-1969-boston-music-hall.html for more information.",[]
1970-01-02_2,Fillmore East - late show,New York,NY,,"9/24/04 update: On 8/14/01, this setlist was relabeled Early show based on a reported witness account at deadlists.com, but that site now has more evidence for this as Late show.","[""http://www.archive.org/details/gd70-01-02.partial-early.sbd.86.sbefail.shnf"", ""http://www.archive.org/details/gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16""]"
1970-01-03_2,Fillmore East (Early Show),New York,NY,,Early show,"[""http://www.archive.org/details/gd1970-01-03.137559.sbd.miller.flac1648""]"
1970-02-03,Family Dog at the Great Highway,San Francisco,CA,,"According to Deadessays blog, there was a rehearsal for the TV broadcast taped on this day. See http://deadessays.blogspot.com/2015/09/deadbase-corrections.html for more information.",[]
1970-02-07_2,Pacific High Recording,San Francisco,CA,,"Dead start recording ""Workingman's Dead""; DSH note- this was added by ""system"" at creation of db",[]
1970-02-11_2,Fillmore East,New York,NY,,"The Allman Brothers Band opened\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nRon ""Pigpen"" McKernan - Hammond B3, Harmonica\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums\n\nDuane Allman - Guitar *\nGregg Allman - Keyboards *\nBerry Oakley - Bass ^\nButch Trucks - Drums *\nPeter Green - Guitar *\nMick Fleetwood - Drums *","[""http://www.archive.org/details/gd1970-02-11.126251.sbd.wolfe-lee-smith.flac16""]"
1970-02-13_2,Fillmore East,New York,NY,,Early show,"[""http://www.archive.org/details/gd1970-02-13.early.sbd.gans.2208.sbeok.shnf"", ""http://www.archive.org/details/gd1970-02-12.sbd.sssb.murphy.5932.sbeok.shnf"", ""http://www.archive.org/details/gd1970-02-13.early.aud.unknown.holmes-Oleynick.109535.sbeok.flac16"", ""http://www.archive.org/details/gd1970-02-13.144856.early-late.aud.recorder2.Mk1.flac24""]"
1970-03-21_2,Capitol Theater (Late),Port Chester,NY,,"Late show. Comments courtesy Deadlists: ""The Friend Of The Devil has different lyrics.  Wake Up Lil Susie\n\nis in response to an audience request... Catfish was advertised on this bill and may have played an\n\nopening set for the late show.""","[""http://www.archive.org/details/gd70-03-21.late.aud.5316.sbeok.shnf"", ""http://www.archive.org/details/gd1970-03-21.late.aud.lee.pcrp.21779.shnf"", ""http://www.archive.org/details/gd1970-03-21.late.aud.coolsonics.altsource.118670.flac16                    "", ""http://www.archive.org/details/gd1970-03-21.late.124148.cooper.flac16"", ""http://www.archive.org/details/gd1970-03-21.144383.late.rec3.m-aud.flac1644"", ""http://www.archive.org/details/gd1970-03-21.144604.late.sonyf95.remaster.lee.hance.sirmick.flac1644""]"
1970-06-24_2,Capitol Theater (Early),Port Chester,NY,,Early show. Other artist(s): NRPS,[]
1970-06-27_2,Coronation Park,Toronto,ON,,According to deadessays shared stage blog (https://deadessays.blogspot.com/2017/11/the-shared-stage-1965-1975.html) the Dead played this show along with Ian & Sylvia and the Great Speckled Bird; James & the Good Brothers; The People’s Revolutionary Concert Band; \n\nJanuary; Si Potma; P.M. Howard,[]
1970-10-18_2,Tyrone Guthrie Theatre,Minneapolis,MN,,Order uncertain - 7:00 show - Other artist(s): NRPS,[]
1970-10-19,unknown,Minneapolis,MN,,,[]
1970-10-30_2,"Gym, SUNY (Early Show)",Stony Brook,NY,,Early show - Other artist(s): NRPS,"[""http://www.archive.org/details/gd1970-10-30.early.sbd.lai.7466.sbefail.shnf"", ""http://www.archive.org/details/gd1970-10-30.early.sbd.cousinit.17359.shnf"", ""http://www.archive.org/details/gd1970-10-30.121125.sbd.deluca.digitalrbb.miller.flac1648"", ""http://www.archive.org/details/gd1970-10-30.121126.sbd.deluca.digitalrbb.miller.flac16"", ""http://www.archive.org/details/gd1970-10-30.153005.sbd.warburton.smith.sirmick.flac16"", ""http://www.archive.org/details/gd1970-10-30.153006.sbd.warburton.smith.sirmick.flac24"", ""http://www.archive.org/details/gd1970-10-30.153205.sbd.warburton.smith.sirmick.flac16"", ""http://www.archive.org/details/gd1970-10-30.153206.sbd.warburton.smith.sirmick.flac24""]"
1970-10-31_2,"Gym, S.U.N.Y. (Early)",Stony Brook,NY,,Early show Other artist(s): NRPS,"[""http://www.archive.org/details/gd70-10-31.early.sbd.fischer.6517.sbeok.shnf"", ""http://www.archive.org/details/gd1970-10-31.122042.sbd.deluca.Digitalrbb.miller.flac1648"", ""http://www.archive.org/details/gd1970-10-31.122043.sbd.deluca.Digitalrbb.miller.flac16"", ""http://www.archive.org/details/gd1970-10-31.153059.early.sbd.warburton.smith.sirmick.flac16"", ""http://www.archive.org/details/gd1970-10-31.153060.early.sbd.warburton.smith.sirmick.flac24""]"
1970-11-06_2,Capitol Theater,Port Chester,NY,,Early show - Other artist(s): NRPS,[]
1970-11-21_2,WBCN-FM Studios,Boston,MA,,"Jerry Garcia, Bob Weir, and Duane Allman",[]
1970-12-31_2,Winterland Arena (aftershow),San Francisco,CA,,aftershow jams and promos; *with Jorma Kaukonen; note the show itself has a separate entry in the db- add it.,"[""http://www.archive.org/details/gd70-12-31.aftershow.sbd.cole.6171.sbeok.shnf""]"
1971-09-29,Studio Rehearsals with Keith Godchaux,Santa Venetia,CA,Rehearsal,setlist courtesy deadlists.com,"[""http://www.archive.org/details/gd71-09-29.sbd.cousinit.16891.sbeok.shnf"", ""http://www.archive.org/details/gd1971-09-29.unsurpassed-masters-vol4-vol6.116951.flac16""]"
1971-09-30,Studio Rehearsals with Keith Godchaux,Santa Venetia,CA,Rehearsal,Studio Rehearsal With Keith Godchaux,"[""http://www.archive.org/details/gd71-09-30.sbd.cousinit.18109.sbeok.shnf""]"
1971-10-01,Studio,Santa Venetia,CA,Rehearsal,"Reportedly one of a few Keith Rehearsal Sessions. If instead you want to list the compilation of several rehearsals that's going around, try 9/??/71.\nAdmin note- If you have known-correct info for this date, feel free to send a well-worded setlist update. Thanks!","[""http://www.archive.org/details/gd71-10-01.sbd.rehearsal.cousinit.16896.sbefail.shnf""]"
1974-02-22_2,Soundcheck - Winterland Arena,San Francisco,CA,,"Sometimes incorrectly dated as 2/24, the correct date is 2/22.\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nKeith Godchaux - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nDonna Jean Godchaux - Vocals",[]
1975-03-17,Ace's,Mill Valley,CA,Rehearsal,"Students Need Athletics Culture & Kicks - SNACK Benefit Rehearsal\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nKeith Godchaux - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums\nDonna Jean Godchaux - Vocals\nDavid Crosby - Vocals, Guitar","[""http://www.archive.org/details/gd75-03-17.sbd.vernon.10111.sbeok.shnf"", ""http://www.archive.org/details/gd1975-03-17.145773.sbd.pcm.dalton.miller.noel.flac16""]"
1975-03-21,Ace's studio,Mill Valley,CA,Rehearsal,,"[""http://www.archive.org/details/gd75-03-21.sbd.backus.14288.sbeok.shnf""]"
1975-03-26,Ace's Studio,Mill Valley,CA,Rehearsal,I was unable to independently confirm the given date for these rehearsals.\n\n\nThis was part of a 6 disc set originally posted on abgd.\n\nTracks 01 and 02 were re-shn'ed to make them seekable like the rest of the set. Renamed to meet Etree guidelines.,"[""http://www.archive.org/details/gd75-03-26.sbd.backus.14289.sbeok.shnf"", ""http://www.archive.org/details/gd1975-03-26.145774.sbd.pcm.dalton.miller.noel.flac16""]"
1975-04-02,Ace's Studio,Mill Valley,CA,Rehearsal,"I tried to create more of an info file, but what can I say? Snippets of various songs in progress, chatter, tuning, ect.\n\nThe Deadbase notation pretty much sums it up. Some interesting stuff here embryonic versions of Blues For Allah-era material.\n","[""http://www.archive.org/details/gd75-04-02.sbd.backus.14290.sbeok.shnf"", ""http://www.archive.org/details/gd1975-04-02.145775.sbd.pcm.dalton.miller.noel.flac16""]"
1975-04-17,Ace's Studio,Mill Valley,CA,Rehearsal,Blues For Allah Recording Sessions & Rehearsals,"[""http://www.archive.org/details/gd75-04-17.sbd.backus.14291.sbeok.shnf"", ""http://www.archive.org/details/gd1975-04-17.122863.flacf""]"
1975-06-03,Ace's Studio,Mill Valley,CA,Rehearsal,"Blues Jam, Crazy Fingers","[""http://www.archive.org/details/gd1975-06-03.145776.sbd.pcm.dalton.miller.noel.flac16""]"
1975-06-04,Ace's Studio,Mill Valley,CA,Rehearsal,Franklin's Tower rehearsals,"[""http://www.archive.org/details/gd1975-06-04.145777.sbd.pcm.dalton.miller.noel.flac16""]"
1975-07-07,Ace's Studio,Mill Valley,CA,,"Multiple takes of Crazy Fingers, TLEO, and King Solomon's Marbles, and Franklin's Tower","[""http://www.archive.org/details/gd75-07-07.sbd.backus.14293.sbeok.shnf"", ""http://www.archive.org/details/gd1975-07-07.145780.sbd.pcm.dalton.miller.noel.flac16""]"
1975-09-01,Club Front Studio,San Rafael,CA,Rehearsal,"Notes:\n\nGrateful Dead studio outtakes recorded during the sessions for Garcia's ""Reflections"" album. Not to be confused with other circulating ""Reflections"" session outtakes or rehearsals.  - Alan Bershaw","[""http://www.archive.org/details/gd1975-09-01.140813.studio.bershaw.flac1644""]"
1975-09-16,Club Front Studio,San Rafael,CA,Rehearsal,"Notes:\n\nA Grateful Dead attempt at studio recording ""Catfish John"" notated as take 9. The session for ""Catfish John"" on Garcia's ""Reflections"" album featured the 1975-era Garcia Band lineup of Garcia, Hopkins, Kahn and Tutt as the core unit, although it did feature additional overdubs by Mickey, Keith & Donna. Not to be confused with other circulating ""Reflections"" outtakes or rehearsals. Short and sweet. - Alan Bershaw","[""http://www.archive.org/details/gd1975-09-16.140795.sbd.bershaw.flac1644""]"
1976-04-20,Mickey's Barn,Novato,CA,Rehearsal,Rehearsal at Mickey's Barn\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nKeith Godchaux - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums\nDonna Jean Godchaux - Vocals,"[""http://www.archive.org/details/gd1976-04-20.141357.sbd.rehearsal.pcm.dalton.miller.clugston.flac1644""]"
1976-05-28,Orpheum Theatre,San Francisco,CA,Rehearsal,Tour Rehearsal\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nKeith Godchaux - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums\nDonna Jean Godchaux - Vocals,"[""http://www.archive.org/details/gd76-05-2x.sbd.vernon.9769.sbeok.shnf"", ""http://www.archive.org/details/gd1976-05-28.rehearsals.gems.82947.flac16""]"
1978-11-17_2,Uptown Theater,Chicago,IL,,Jerry Garcia - Guitar\nBob Weir - Guitar\nKeith Godchaux - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums\nDonna Jean Godchaux - Vocals,"[""http://www.archive.org/details/gd78-11-17.paud.wiley.11488.sbeok.shnf"", ""http://www.archive.org/details/gd1978-11-17.135718.sbd.partial.schley.andrewf.flac1644""]"
1979-04-16,"Studio Rehersal, Club Front",San Rafael,CA,,Jerry Garcia - Guitar\nBob Weir - Guitar\nBrent Mydland - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums,"[""http://www.archive.org/details/gd79-04-16.studio.clugston.3121.sbeok.shnf"", ""http://www.archive.org/details/gd1979-04-16.sbd-greider.ladner.4163.shnf"", ""http://www.archive.org/details/gd1979-04-16.157228.sbd.gems.flac1648""]"
1979-07-11,"Studio Rehersal, Club Front",San Rafael,CA,,Jerry Garcia - Guitar\nBob Weir - Guitar\nBrent Mydland - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums,"[""http://www.archive.org/details/gd1979-07-11.153601.gth-outtakes.flyingM.flac1644"", ""http://www.archive.org/details/gd1979-07-11.153602.gth-outtakes.flyingM.flac2496"", ""http://www.archive.org/details/gd1979-07-11.164873.GoToHeavenOuttakes.v2.flac1644"", ""http://www.archive.org/details/gd1979-07-11.164874.GoToHeavenOuttakes.v2.flac2496""]"
1981-12-11,Club Front,San Rafael,CA,Rehearsal,"Grateful Dead + Joan Baez\n-- This was a rehearsal for the next day's show in San Mateo\n-- The drummers show up halfway through\n-- There's multiple takes of most songs\n-- With Jim McPherson on Piano\n\nTo view the show, see:\nhttp://etreedb.org/lookup_show.php?shows_key=1387","[""http://www.archive.org/details/gd1981-12-11.167061.sbd.miller.flac2496"", ""http://www.archive.org/details/gd1981-12-11.167082.ClubFront.SanRafael.sbd.Baez.rehearsal.pearson.miller.t-flac1648""]"
1983-01-24,Stone House Studio,Novato,CA,Rehearsal,Rehearsal Session\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nBrent Mydland - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums,"[""http://www.archive.org/details/gd83-01-24.sbd.miller.21264.sbeok.shnf""]"
1983-01-31,Stone House Studio,Novato,CA,Rehearsal,Rehearsal Sessions\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nBrent Mydland - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums,"[""http://www.archive.org/details/gd83-01-31.sbd.miller.21265.sbeok.shnf""]"
